Date,Open,High,Low,Close,Adj Close,Volume
2014-05-26,null,null,null,null,null,null
2014-06-02,114.779999,114.889999,113.449997,113.790001,103.874809,5097100
2014-06-09,113.690002,114.160004,113.510002,113.849998,104.521584,2333800
2014-06-16,113.910004,114.699997,113.730003,114.620003,105.228455,1643600
2014-06-23,114.760002,115.550003,114.489998,115.349998,105.898636,1741800
2014-06-30,115.449997,115.449997,113.800003,114.110001,104.760239,1758700
2014-07-07,114.239998,115.430000,114.230003,115.290001,106.159927,2459400
2014-07-14,115.190002,115.540001,114.699997,115.279999,106.150696,2133600
2014-07-21,115.430000,115.680000,114.989998,115.669998,106.509827,1903400
2014-07-28,115.570000,115.739998,114.410004,114.989998,105.883667,3082100
2014-08-04,115.050003,115.720001,114.500000,115.360001,106.554024,2512900
2014-08-11,115.440002,116.139999,115.010002,115.750000,106.914246,2299800
2014-08-18,115.559998,115.599998,114.639999,114.919998,106.147583,2151700
2014-08-25,115.000000,115.540001,114.860001,115.250000,106.452400,2049000
2014-09-01,114.620003,114.730003,114.059998,114.099998,105.390175,2831300
2014-09-08,114.290001,114.339996,112.650002,112.660004,104.235535,4222800
2014-09-15,112.849998,112.959999,111.669998,112.040001,103.661896,2669400
2014-09-22,112.150002,112.720001,111.860001,112.110001,103.726624,3641400
2014-09-29,112.269997,113.010002,112.059998,112.410004,104.004219,8657700
2014-10-06,112.459999,113.889999,112.360001,113.790001,105.281029,3410000
2014-10-13,113.970001,116.250000,113.720001,114.000000,105.475334,2547200
2014-10-20,114.269997,114.269997,113.139999,113.290001,104.818420,2092300
2014-10-27,113.230003,113.400002,112.669998,113.080002,104.624115,1855600
2014-11-03,113.000000,113.629997,112.699997,113.620003,105.123749,6132800
2014-11-10,113.599998,113.620003,112.709999,113.199997,104.735130,1828500
2014-11-17,113.199997,113.230003,112.330002,113.059998,104.605598,2044000
2014-11-24,112.870003,113.440002,112.870003,113.260002,104.790642,1837400
2014-12-01,113.370003,113.470001,111.800003,112.000000,103.624886,6259700
2014-12-08,111.910004,112.919998,111.830002,112.779999,104.401909,2506800
2014-12-15,112.379997,113.250000,111.730003,112.349998,104.003845,2333700
2014-12-22,112.279999,112.540001,111.190002,111.570000,103.281792,1754400
2014-12-29,111.750000,112.760002,111.519997,112.730003,104.355629,2653900
2015-01-05,112.760002,113.540001,112.360001,113.080002,104.679649,3627300
2015-01-12,112.959999,114.459999,112.500000,113.800003,105.346153,3427400
2015-01-19,113.940002,114.360001,113.120003,114.320000,105.827499,2722300
2015-01-26,114.199997,115.709999,113.959999,115.629997,107.040184,2679100
2015-02-02,115.489998,115.760002,113.690002,113.860001,105.401688,4078200
2015-02-09,113.980003,114.040001,112.620003,112.660004,104.290848,3290200
2015-02-16,112.510002,113.000000,111.940002,112.480003,104.124199,2337900
2015-02-23,112.599998,114.150002,112.419998,114.139999,105.660896,2346300
2015-03-02,114.050003,114.050003,111.930000,111.970001,103.652077,6274100
2015-03-09,112.209999,112.440002,111.510002,111.510002,103.226265,2387700
2015-03-16,111.910004,113.790001,111.500000,113.760002,105.309120,1872500
