Date,IVV net,LQD net,SHY net,VNQ net,GLD net,EFA net,EEM net,EMB net
2014-06-09,-1.131958,0.27291107,-0.04450226,-1.3436317,2.3499985,-0.4224701,0.044654846,-0.27316284
2014-06-16,2.4256592,0.06716919,-0.028419495,0.9677353,3.540001,0.7013092,-0.044654846,-0.14818573
2014-06-23,-0.7187195,0.6804733,0.075737,-0.47987747,0.16000366,-1.8927231,-0.18758011,0.74095154
2014-06-30,2.8530426,-1.2096634,-0.0851593,0.2440567,0.5,2.2055244,1.0351906,-0.8345642
2014-07-07,-1.453064,1.2183075,0.0898819,0.73456955,1.6199951,-1.5150032,-0.24307632,1.1413879
2014-07-14,0.9386444,0.16002655,-0.0568161,0.8233566,-2.6500015,0.3549347,0.24307632,-0.22699738
2014-07-21,0.06315613,0.18534851,0.018959045,-0.42782974,-0.33999634,0.06060028,0.55818176,0.5635071
2014-07-28,-4.7564545,-0.53912354,0.05680847,-1.0574493,-1.4100037,-1.5756187,-0.64821243,-2.0740662
2014-08-04,0.658905,0.47292328,0.03504181,0.16143036,1.8100052,-0.7358513,-0.31510162,0.49920654
2014-08-11,2.3014832,0.65888214,0.05682373,1.0574799,-0.7099991,0.7358513,0.72023773,1.1545868
2014-08-18,3.1047668,-0.050682068,-0.09466553,0.41975784,-2.290001,0.2943573,0.21606445,-0.039276123
2014-08-25,1.3538666,0.69272614,0.07572174,0.34710693,0.66999817,0.2077713,0.27908707,0.502655
2014-09-01,0.42417908,-1.3347473,-0.05682373,0.59734726,-1.800003,0.2510605,0.7112236,-0.16493225
2014-09-08,-1.759964,-0.878006,-0.06819916,-3.2773438,-3.6800003,-0.84841156,-1.8545837,-1.1421127
2014-09-15,2.157074,0.3049698,0.0,-0.17758942,-1.2900009,-0.043281555,-0.29708862,-0.14961243
2014-09-22,-3.2311249,0.093185425,0.06630707,-1.0736084,-0.02999878,-1.0388718,-0.936306,-0.039382935
2014-09-29,-0.49020386,0.703125,-0.028396606,0.4855652,-2.449997,-1.8093452,-1.0263252,-0.44879913
2014-10-06,-5.458893,0.88101196,0.2748413,1.0184059,2.9799957,-1.9911575,-0.69321823,0.57683563
2014-10-13,-1.8406982,0.2973709,0.08526611,0.96136856,1.4000015,0.22509003,0.18906021,0.5925827
2014-10-20,7.1726074,-0.19540405,-0.009468079,1.939064,-0.6399994,1.3764915,0.2700882,0.10270691
2014-10-27,4.815048,-0.34833527,-0.113708496,1.580574,-5.689995,1.4890366,1.0173149,0.4661789
2014-11-03,1.6050415,-0.19537354,-0.028450012,-0.04888153,0.30999756,-0.9522934,-0.8372612,-0.8849106
2014-11-10,0.7435303,-0.22633362,0.046440125,-0.39108276,1.5,0.4415207,0.1980629,0.07216644
2014-11-17,2.2306824,0.12779999,0.009475708,0.5947647,0.91999817,0.36360168,0.9002876,0.6026459
2014-11-24,0.48968506,1.2182541,0.056900024,1.1324539,-3.2799988,0.18180084,-0.8462753,-0.16651917
2014-12-01,0.7798157,-1.4738464,-0.21806335,0.016273499,2.3199997,-0.025970459,-0.55817413,-1.0387344
2014-12-08,-6.5197906,0.8715515,0.15071106,0.19555664,2.9800034,-2.5798492,-2.286728,-3.0304031
2014-12-15,6.1298523,0.2819519,-0.18968964,0.9776764,-2.640007,0.62332535,0.45014572,2.4671173
2014-12-22,0.76171875,-0.32466888,-0.08532715,-0.02444458,0.060005188,0.9946327,1.03265,-0.4536438
2014-12-29,-1.8408966,0.98721313,0.19259644,1.092247,-0.75,-1.4511528,-0.5936012,-0.70861816
2015-01-05,-0.9844513,0.9166107,0.13278961,2.4031677,3.1800003,-0.8217468,0.45661545,0.5760803
2015-01-12,-2.4156647,0.42832947,0.18976593,1.8250885,5.2599945,1.0053253,0.20091629,0.61608887
2015-01-19,3.09021,0.75388336,-0.028465271,0.44594574,1.7100067,0.4982834,1.1598091,0.67214966
2015-01-26,-5.03183,1.3791809,0.12334442,-1.0983276,-0.7800064,-0.12238693,-1.5890312,0.08797455
2015-02-02,5.542267,-2.3300781,-0.33208466,-1.114891,-4.8099976,1.1189651,0.7305794,-0.24804688
2015-02-09,3.947113,-0.010620117,0.04069519,-0.1156311,-0.65999603,1.1539268,0.77625275,0.54429626
2015-02-16,1.3308716,0.025749207,0.0,-0.3715973,-2.7000046,1.0577774,0.0,-0.2006836
2015-02-23,-0.48312378,0.8074646,0.05693817,-1.0240479,0.8800049,0.061180115,0.06393051,0.7626953
2015-03-02,-2.9443512,-2.2762985,-0.15184021,-2.477478,-4.300003,-1.1276932,-1.3515968,-1.3889389
2015-03-09,-1.5587769,0.98176575,0.11480713,1.6598969,-0.98000336,-0.6294174,-0.87670517,-0.5230789
2015-03-16,5.086563,1.3091736,0.13294983,3.8401184,2.6900024,2.2466698,1.6255722,1.5866241
2015-03-23,-5.2415314,-0.18086243,0.047462463,-2.6178741,1.4899979,-0.45458603,-0.5662117,0.17721558
