Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,48.360001,49.119999,47.099998,47.290001,34.372078,102088700
2009-06-08,46.770000,49.180000,46.430000,48.430000,35.200672,89685900
2009-06-15,47.389999,47.450001,45.689999,46.930000,34.110424,120681200
2009-06-22,46.110001,46.180000,44.529999,45.959999,33.405388,118587600
2009-06-29,46.160000,46.980000,45.060001,45.230000,33.573315,93345200
2009-07-06,44.660000,45.290001,43.290001,44.029999,32.682583,100478100
2009-07-13,44.130001,47.119999,43.820000,46.820000,34.753544,87895900
2009-07-20,47.580002,49.290001,47.279999,49.259998,36.564709,87914800
2009-07-27,49.070000,50.529999,48.450001,50.410000,37.418331,92976500
2009-08-03,51.220001,51.709999,50.380001,50.919998,37.796894,95366500
2009-08-10,50.700001,51.799999,50.029999,51.230000,38.027000,81549300
2009-08-17,49.700001,52.529999,49.410000,52.349998,38.858349,95039600
2009-08-24,52.570000,53.630001,52.029999,53.070000,39.392792,93084800
2009-08-31,52.439999,52.889999,51.040001,52.500000,38.969700,100723000
2009-09-07,53.650002,55.020000,50.070000,54.610001,40.535908,71446800
2009-09-14,54.000000,55.889999,53.970001,55.599998,41.270763,101517500
2009-09-21,54.650002,56.310001,54.119999,54.250000,40.268681,104563900
2009-09-28,54.439999,55.369999,52.419998,52.660000,39.088451,107374900
2009-10-05,52.689999,55.650002,52.599998,55.169998,40.951569,78787500
2009-10-12,55.730000,56.970001,55.000000,56.110001,41.649326,73473600
2009-10-19,56.650002,57.459999,55.900002,56.169998,41.693867,85821900
2009-10-26,56.369999,56.790001,53.209999,53.299999,39.563522,122538300
2009-11-02,53.770000,55.139999,52.779999,55.009998,40.832809,96026900
2009-11-09,56.000000,56.910000,55.490002,56.380001,41.849739,90653700
2009-11-16,56.869999,57.610001,54.930000,55.340000,41.077778,82782800
2009-11-23,56.459999,56.889999,54.439999,55.209999,40.981277,70504900
2009-11-30,55.240002,57.660000,54.900002,56.669998,42.065006,85420500
2009-12-07,56.310001,56.830002,54.720001,55.459999,41.166847,81268500
2009-12-14,55.860001,56.310001,54.230000,54.840000,40.706631,95828600
2009-12-21,54.950001,55.650002,54.580002,55.570000,41.248493,46271700
2009-12-28,55.849998,56.200001,55.220001,55.279999,41.406651,48870200
2010-01-04,56.419998,57.310001,56.369999,57.250000,42.882244,68530900
2010-01-11,57.830002,58.000000,56.599998,57.049999,42.732445,79508100
2010-01-18,56.880001,57.680000,53.790001,53.869999,40.350513,92429400
