Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,34.259998,34.889999,30.780001,33.610001,27.405502,427842000
2009-06-08,32.880001,34.599998,32.599998,33.740002,27.511499,310901700
2009-06-15,33.080002,33.099998,31.330000,31.750000,25.888861,364675600
2009-06-22,31.309999,32.480000,30.120001,32.320000,26.353636,397303700
2009-06-29,32.610001,33.200001,31.870001,31.920000,26.239273,288201500
2009-07-06,31.469999,31.900000,30.250000,30.920000,25.417244,352030800
2009-07-13,30.730000,33.650002,30.299999,33.570000,27.595634,324377000
2009-07-20,34.389999,35.779999,34.130001,35.400002,29.099951,335890100
2009-07-27,35.549999,36.049999,34.529999,35.779999,29.412323,359558900
2009-08-03,36.740002,37.189999,35.790001,36.529999,30.028845,290376000
2009-08-10,36.220001,36.389999,35.220001,35.720001,29.363007,316181500
2009-08-17,34.470001,36.430000,34.130001,36.310001,29.848005,392906800
2009-08-24,36.709999,37.000000,35.529999,36.020000,29.609617,288495900
2009-08-31,35.410000,36.439999,34.610001,36.400002,29.921991,349175900
2009-09-07,37.029999,38.169998,35.529999,37.860001,31.122149,230714800
2009-09-14,37.310001,42.000000,37.259998,39.029999,32.083927,321959200
2009-09-21,38.509998,39.509998,37.700001,38.090000,31.311224,351765700
2009-09-28,38.189999,39.320000,37.299999,37.860001,31.122149,422351500
2009-10-05,38.209999,39.959999,38.009998,39.849998,32.757996,322086700
2009-10-12,40.119999,41.549999,39.750000,40.750000,33.497822,337313600
2009-10-19,41.090000,41.599998,40.299999,40.759998,33.506046,364186500
2009-10-26,41.099998,41.430000,37.320000,37.570000,30.883762,667010200
2009-11-02,38.130001,39.869999,37.400002,39.650002,32.593590,439943000
2009-11-09,40.369999,41.630001,40.279999,41.040001,33.736217,384395500
2009-11-16,41.630001,42.240002,40.389999,40.650002,33.415627,382870800
2009-11-23,41.549999,41.860001,39.290001,40.130001,32.988167,296158500
2009-11-30,40.459999,42.520000,40.070000,41.840000,34.393841,429459200
2009-12-07,41.570000,41.910000,40.509998,41.349998,33.991047,301463300
2009-12-14,41.549999,41.840000,40.000000,40.360001,33.177231,286367200
2009-12-21,40.480000,41.230000,40.090000,41.200001,33.867744,185222700
2009-12-28,41.470001,41.759998,41.119999,41.500000,34.389908,126002900
2010-01-04,42.180000,43.290001,42.160000,43.200001,35.809048,254549700
2010-01-11,43.450001,43.470001,41.830002,41.950001,34.772907,286064400
2010-01-18,42.080002,42.799999,39.529999,39.610001,32.833263,360810100
2010-01-25,40.130001,40.320000,35.810001,38.279999,31.730797,517407800
2010-02-01,38.639999,39.820000,36.180000,37.200001,30.835575,530734500
2010-02-08,37.180000,38.970001,36.820000,38.439999,31.863422,450000000
2010-02-15,39.020000,39.860001,38.750000,39.380001,32.642601,275690200
2010-02-22,39.619999,39.639999,37.759998,38.959999,32.294460,372079900
2010-03-01,39.430000,40.950001,39.330002,40.950001,33.943993,347522200
