Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,40.099998,41.270000,40.099998,40.860001,32.856422,1379900
2009-06-08,40.669998,41.320000,40.250000,40.980000,32.952915,1454900
2009-06-15,40.619999,40.619999,39.340000,39.919998,32.100529,941100
2009-06-22,39.639999,39.759998,38.680000,39.639999,31.875370,786400
2009-06-29,39.790001,40.139999,38.939999,38.950001,31.507488,717700
2009-07-06,38.630001,39.119999,38.080002,38.310001,30.989782,848900
2009-07-13,38.380001,40.689999,38.240002,40.560001,32.809872,1362300
2009-07-20,40.810001,41.889999,40.619999,41.869999,33.869541,1340400
2009-07-27,41.810001,42.619999,41.610001,42.240002,34.168839,1031000
2009-08-03,42.470001,43.290001,42.240002,43.040001,34.815987,987500
2009-08-10,42.880001,43.220001,42.400002,42.669998,34.516678,822100
2009-08-17,42.139999,43.660000,41.820000,43.570000,35.244709,898500
2009-08-24,43.730000,43.959999,43.169998,43.500000,35.188091,1466300
2009-08-31,43.290001,43.570000,42.320000,43.200001,34.945412,1382700
2009-09-07,43.520000,44.250000,43.290001,44.099998,35.673439,618100
2009-09-14,43.820000,45.299999,43.740002,45.139999,36.514717,903500
2009-09-21,44.889999,45.320000,43.810001,43.990002,35.584454,935200
2009-09-28,44.139999,44.869999,43.209999,43.480000,35.354904,3651100
2009-10-05,43.639999,45.330002,43.480000,45.330002,36.859196,742400
2009-10-12,45.490002,46.340000,45.180000,46.009998,37.412128,1348700
2009-10-19,46.040001,46.560001,45.500000,45.669998,37.135651,1670700
2009-10-26,45.770000,46.110001,44.110001,44.200001,35.940346,1018400
2009-11-02,44.240002,45.610001,44.020000,45.580002,37.062489,1601500
2009-11-09,45.799999,46.959999,45.740002,46.480000,37.794285,1258100
2009-11-16,46.730000,47.230000,46.320000,46.540001,37.843075,2023400
2009-11-23,46.939999,47.330002,46.130001,46.560001,37.859348,961700
2009-11-30,46.599998,47.599998,46.310001,47.040001,38.249638,1709400
2009-12-07,47.099998,47.189999,46.169998,47.110001,38.306568,1288600
2009-12-14,47.290001,47.380001,46.299999,46.720001,37.989445,1946500
2009-12-21,46.939999,47.279999,46.849998,47.259998,38.428516,1118400
2009-12-28,47.459999,47.520000,46.849998,46.860001,38.299244,1104500
2010-01-04,47.189999,47.700001,47.080002,47.689999,38.977627,1713900
2010-01-11,47.750000,48.189999,47.500000,47.650002,38.944935,1085300
2010-01-18,47.730000,48.180000,46.250000,46.320000,37.857903,1214900
2010-01-25,46.680000,46.799999,45.720001,45.779999,37.416550,1141500
2010-02-01,46.080002,47.000000,44.689999,45.439999,37.138668,7540400
2010-02-08,45.450001,46.000000,45.049999,45.860001,37.481934,1408200
2010-02-15,46.259998,47.389999,46.049999,47.259998,38.626175,1302400
2010-02-22,47.430000,47.439999,46.340000,46.889999,38.323788,2452700
2010-03-01,47.139999,48.180000,47.029999,48.180000,39.378101,1452500
2010-03-08,48.200001,48.400002,47.779999,48.220001,39.410789,1508100
2010-03-15,48.189999,49.040001,48.119999,48.689999,39.794926,3584500
2010-03-22,48.599998,49.310001,48.360001,48.580002,39.705036,1493000
2010-03-29,48.779999,49.230000,48.709999,49.180000,40.381481,1381800
2010-04-05,49.410000,49.630001,48.990002,49.610001,40.734554,2210300
2010-04-12,49.709999,50.200001,49.430000,49.750000,40.849510,1467500
2010-04-19,49.680000,50.680000,49.509998,50.660000,41.596710,1636300
2010-04-26,50.740002,50.880001,49.599998,49.889999,40.964462,1982200
2010-05-03,50.130001,50.459999,37.880001,47.200001,38.755703,3576500
2010-05-10,49.049999,49.520000,47.959999,48.369999,39.716396,2070200
2010-05-17,48.470001,48.930000,45.090000,46.389999,38.090622,3552300
2010-05-24,46.270000,46.810001,44.639999,46.279999,38.000317,2883500
2010-05-31,46.099998,46.990002,45.090000,45.230000,37.138149,2958000
2010-06-07,45.250000,46.380001,44.540001,46.330002,38.041355,2429400
2010-06-14,46.709999,47.470001,46.360001,47.259998,38.804981,1584400
2010-06-21,47.779999,47.840000,45.080002,45.290001,37.187428,1143000
2010-06-28,45.450001,45.590000,43.400002,43.779999,36.142937,3187200
2010-07-05,44.259998,45.889999,43.650002,45.849998,37.851833,1894000
2010-07-12,45.750000,46.610001,45.310001,45.410000,37.488598,1246100
2010-07-19,45.560001,46.990002,44.790001,46.930000,38.743454,1846600
2010-07-26,47.009998,47.599998,46.250000,46.840000,38.669144,1836000
2010-08-02,47.610001,47.860001,47.099998,47.650002,39.337845,1367300
2010-08-09,47.970001,48.080002,46.060001,46.400002,38.305897,2519900
2010-08-16,46.169998,47.250000,45.820000,46.119999,38.074730,3063500
2010-08-23,46.369999,46.580002,44.939999,45.869999,37.868347,1657800
2010-08-30,45.849998,47.290001,44.950001,47.250000,39.007618,2982900
2010-09-06,47.000000,47.619999,46.849998,47.560001,39.263550,1493500
2010-09-13,47.970001,48.290001,47.599998,48.049999,39.668064,2069300
2010-09-20,48.259998,48.950001,48.099998,48.799999,40.287231,2829500
2010-09-27,48.900002,49.310001,48.250000,48.919998,40.611313,2676700
2010-10-04,48.790001,49.810001,48.369999,49.669998,41.233929,8030800
2010-10-11,49.709999,50.320000,49.259998,50.040001,41.541092,2530600
